Flight No.;Launch site;Payload;Payload mass;Orbit;Customer;Launch outcome;Version Booster;Booster landing;Date;Time
39;KSC;SpaceX CRS-12;3,310 kg;LEO;NASA;Success;F9 B4;Success;14/Aug/17;14/Aug/17
40;VAFB;Formosat-5;475 kg;SSO;NSPO;Success;F9 FT;Success;24/Aug/17;24/Aug/17
41;KSC;Boeing X-37B;4,990 kg;LEO;USAF;Success;F9 B4;Success;07/Sep/17;07/Sep/17
42;VAFB;Iridium NEXT;9,600 kg;Polar;Iridium Communications;Success;F9 B4;Success;09/Oct/17;09/Oct/17
43;KSC;SES-11;5,200 kg;GTO;SES S.A.;Success;F9 FTB1031.2;Success;11/Oct/17;11/Oct/17
44;KSC;Koreasat 5A;3,500 kg;GTO;KT Corporation;Success;F9 B4;Success;30/Oct/17;30/Oct/17
45;Cape Canaveral;SpaceX CRS-13;2,205 kg;LEO;NASA;Success;F9 FTB1035.2;Success;15/Dec/17;15/Dec/17
46;VAFB;Iridium NEXT;9,600 kg;Polar;Iridium Communications;Success;F9 FTB1036.2;Controlled;23/Dec/17;23/Dec/17
47;CCAFS;Zuma;C;LEO;Northrop Grumman;Success;F9 B4;Success;08/Jan/18;08/Jan/18
48;CCAFS;GovSat-1;4,230 kg;GTO;SES;Success;F9 FTB1032.2;Controlled;31/Jan/18;31/Jan/18
49;VAFB;Paz;2,150 kg;SSO;Hisdesat;Success;F9 FTB1038.2;No attempt;22/Feb/18;22/Feb/18
50;CCAFS;Hispasat 30W-6;6,092 kg;GTO;Hispasat;Success;F9 B4;No attempt;06/Mar/18;06/Mar/18
51;VAFB;Iridium NEXT;9,600 kg;Polar;Iridium Communications;Success;F9 B4B1041.2;No attempt;30/Mar/18;30/Mar/18
52;CCAFS;SpaceX CRS-14;2,647 kg;LEO;NASA;Success;F9 B4B1039.2;No attempt;02/Apr/18;02/Apr/18
53;CCAFS;Transiting Exoplanet Survey Satellite;362 kg;HEO;NASA;Success;F9 B4;Success;18/Apr/18;18/Apr/18
54;KSC;Bangabandhu-1;3,600 kg;GTO;Thales-Alenia;Success;F9 B5B1046.1;Success;11/May/18;11/May/18
55;VAFB;Iridium NEXT;6,460 kg;Polar;Iridium Communications;Success;F9 B4B1043.2;No attempt;22/May/18;22/May/18
56;CCAFS;SES-12;5,384 kg;GTO;SES;Success;F9 B4B1040.2;No attempt;04/Jun/18;04/Jun/18
57;CCAFS;SpaceX CRS-15;2,697 kg;LEO;NASA;Success;F9 B4B1045.2;No attempt;29/Jun/18;29/Jun/18
58;CCAFS;Telstar 19V;7,075 kg;GTO;Telesat;Success;F9 B5;Success;22/Jul/18;22/Jul/18
59;VAFB;Iridium NEXT;9,600 kg;Polar;Iridium Communications;Success;F9 B5B1048;Success;25/Jul/18;25/Jul/18
60;CCAFS;Merah Putih;5,800 kg;GTO;Telkom Indonesia;Success;F9 B5B1046.2;Success;07/Aug/18;07/Aug/18
61;CCAFS;Telstar 18V;7,060 kg;GTO;Telesat;Success;F9 B5;Success;10/Sep/18;10/Sep/18
62;VAFB;SAOCOM 1A;3,000 kg;SSO;CONAE;Success;F9 B5B1048.2;Success;08/Oct/18;08/Oct/18
63;KSC;Es'hail 2;5,300 kg;GTO;Es'hailSat;Success;F9 B5B1047.2;Success;15/Nov/18;15/Nov/18
64;VAFB;SSO-A;~4,000 kg;SSO;Spaceflight Industries;Success;F9 B5B1046.3;Success;03/Dec/18;03/Dec/18
65;CCAFS;SpaceX CRS-16;2,500 kg;LEO;NASA;Success;F9 B5;Failure;05/Dec/18;05/Dec/18
66;CCAFS;GPS III;4,400 kg;MEO;USAF;Success;F9 B5;No attempt;23/Dec/18;23/Dec/18
67;VAFB;Iridium NEXT;9,600 kg;Polar;Iridium Communications;Success;F9 B5B1049.2;Success;11/Jan/19;11/Jan/19
68;CCAFS;Nusantara Satu;4,850 kg;GTO;PSN;Success;F9 B5B1048.3;Success;22/Feb/19;22/Feb/19
69;KSC;Crew Dragon Demo-1;12,055 kg;LEO;NASA;Success;F9 B5[268];Success;02/Mar/19;02/Mar/19
70;CCAFS;SpaceX CRS-17;2,495 kg;LEO;NASA;Success;F9 B5;Success;04/May/19;04/May/19
71;CCAFS;Starlink;13,620 kg;LEO;SpaceX;Success;F9 B5B1049.3;Success;24/May/19;24/May/19
72;VAFB;RADARSAT Constellation;4,200 kg;SSO;Canadian Space Agency;Success;F9 B5B1051.2;Success;12/Jun/19;12/Jun/19
73;CCAFS;SpaceX CRS-18;2,268 kg;LEO;NASA;Success;F9 B5B1056.2;Success;25/Jul/19;25/Jul/19
